Queries,,Model,Article1/Ranking,Article2/Ranking,Article3/Ranking,Article4/Ranking,Article5/Ranking,Article6/Ranking,Article7/Ranking,Article8/Ranking,Article9/Ranking,Article10/Ranking,Article11/Ranking,Article12/Ranking,"Non-parametric (Friedman, Nemenyi)"
"The Ministry of Transport announced that the Cross Island MRT line will run directly under the Central Catchment Nature Reserve as it is cheaper, hence resulting in lower energy consumption.",1,BWE-Agg-Add,0.6571103858115801,0.43346420146756187,0.5308706299665638,0.47404172075580686,0.4017326182152597,0.3724014019660298,0.5466948208312139,0.5133486483518743,0.3589276363671208,0.733078525331253,0.39653696183813053,0.7702917278973558,0.3994903722824976
"The Ministry of Transport announced that the Cross Island MRT line will run directly under the Central Catchment Nature Reserve as it is cheaper, hence resulting in lower energy consumption.",2,BWE-Agg-IDF,0.6157508381668653,0.4133330488205621,0.5567401523009404,0.45914781625995077,0.4295945905678463,0.3620098655980818,0.5575308986258743,0.5145016113576804,0.35460456889205866,0.717343011044242,0.3849858552873306,0.7727156961767965,0.3002548138587512
"The Ministry of Transport announced that the Cross Island MRT line will run directly under the Central Catchment Nature Reserve as it is cheaper, hence resulting in lower energy consumption.",3,LASER,0.3925861117850999,0.6840200379255544,0.22549869046392926,0.6177251099964816,0.6037294225346527,0.645363504273182,0.23140810037003373,0.5568110963551585,0.5948793360832871,0.3223137788614876,0.5663336300271212,0.34774977994877926,0.3002548138587512
"The Outram Community Hospital opens next to Singapore General Hospital, featuring facilities resembling public estates.",0,Title,"(48194, 'zh')","(103, 'ms')","(11144, 'ta')","(11298, 'ta')","(25, 'ms')","(57428, 'en')","(91333, 'en')","(65830, 'en')","(6164, 'ta')","(38513, 'zh')","(170, 'ms')","(33982, 'zh')",p=0.338
"The Outram Community Hospital opens next to Singapore General Hospital, featuring facilities resembling public estates.",1,BWE-Agg-Add,0.6368488132440265,0.20231755578499094,0.5350442390156065,0.4771930336072942,0.31332831981791115,0.6491803124127785,0.6918715899459906,0.6711761016209652,0.5316600208135303,0.4796776160377401,0.26792634942880716,0.21584001546285633,0.26925344951831
"The Outram Community Hospital opens next to Singapore General Hospital, featuring facilities resembling public estates.",2,BWE-Agg-IDF,0.6135078216909707,0.1824907887458462,0.5332982183323601,0.4774287097869961,0.2699755750265312,0.631647264457097,0.6455912326503952,0.6723367374840574,0.551047683054714,0.42719943928405857,0.24400582915554084,0.13714937889546977,0.26925344951831
"The Outram Community Hospital opens next to Singapore General Hospital, featuring facilities resembling public estates.",3,LASER,0.5742429568506339,0.6620108496511149,0.0982970911434583,0.13736749044427116,0.6624514731751332,0.6404373091202265,0.5943854655221932,0.26833414291788915,0.30967907374311615,0.5654413232787295,0.5931167218012441,0.596139523060174,0.46149310096338003
"The new MRT map is launched with the Circle MRT line as a focal point, prominent landmarks to orientate commuters and QR codes containing an online fare calculator and downloadable maps. In addition, new directional signs will be used starting from the Thomson–East Coast MRT line.",0,Title,"(11042, 'zh')","(176, 'ms')","(9864, 'ta')","(38885, 'en')","(652, 'ms')","(8437, 'ta')","(20183, 'en')","(6822, 'en')","(13226, 'ta')","(17989, 'zh')","(23781, 'zh')","(481, 'ms')",p=0.338
"The new MRT map is launched with the Circle MRT line as a focal point, prominent landmarks to orientate commuters and QR codes containing an online fare calculator and downloadable maps. In addition, new directional signs will be used starting from the Thomson–East Coast MRT line.",1,BWE-Agg-Add,0.4556119482259062,0.41681409230396843,0.5683821582285641,0.6886850291062754,0.3407483063122209,0.5408415459666995,0.7133547155997593,0.6079332539705382,0.585698222810285,0.5346667681232997,0.4586884237399539,0.4111364920521697,0.26925344951831
"The new MRT map is launched with the Circle MRT line as a focal point, prominent landmarks to orientate commuters and QR codes containing an online fare calculator and downloadable maps. In addition, new directional signs will be used starting from the Thomson–East Coast MRT line.",2,BWE-Agg-IDF,0.46206023157493886,0.40485845776274976,0.5743861774930021,0.6800992267033094,0.33153698622951927,0.5726268678033621,0.7187727319626492,0.6099585618627074,0.5831243736828284,0.5307976835454871,0.4597000008885077,0.41684222485032224,0.46149310096338003
"The new MRT map is launched with the Circle MRT line as a focal point, prominent landmarks to orientate commuters and QR codes containing an online fare calculator and downloadable maps. In addition, new directional signs will be used starting from the Thomson–East Coast MRT line.",3,LASER,0.6816955386937293,0.7329470471562265,0.3297141011436064,0.7776161467126279,0.7218398503053556,0.6975441539962693,0.43088272486007084,0.5724141284800099,0.5712924863124696,0.7096379717528646,0.6801384296016987,0.7019894873785056,0.26925344951831
The Singapore Democratic Party is issued correction notices for two Facebook posts and an online article. It complies with the notices a day later.,0,Title,"(52888, 'en')","(2536, 'ta')","(800, 'ms')","(32826, 'zh')","(23291, 'zh')","(147, 'ms')","(6100, 'ta')","(13913, 'zh')","(799, 'ms')","(2521, 'ta')","(78127, 'en')","(80980, 'en')",p=0.368
The Singapore Democratic Party is issued correction notices for two Facebook posts and an online article. It complies with the notices a day later.,1,BWE-Agg-Add,0.7786583773687354,0.5672589688210513,0.46295691988446697,0.4873256390673431,0.5613758020842781,0.4450964900731955,0.46506337305550877,0.4557359392005494,0.4062870923562918,0.4401711583459056,0.6693962475027726,0.5897863378754138,0.3333333333333333
